kill date,kill year,kill month,NZDI,Animal Type,Transport distance (calculated),Processing location,lairage time (calculated),Presentation Grade,Grade,live weight,carcass weight,Teeth,Total number of defects,Yield,Animal Type_num,Grade_num,Presentation Grade_num,Age,Waste,price/kg,price
2021-12-16,2021,12,0.29,steer,175.0,C,22.5,A,P2,597.6,321.5,2.0,0,53.8,2,4,0,24.0,276.1,5.9,1896.8500000000001
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,723.8,385.0,4.0,0,53.2,2,4,0,30.0,338.79999999999995,5.9,2271.5
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,645.6,344.0,4.0,0,53.3,2,4,0,30.0,301.6,5.9,2029.6000000000001
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,618.7,347.0,2.0,0,56.1,2,4,0,24.0,271.70000000000005,5.9,2047.3000000000002
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,654.9,365.5,4.0,0,55.8,2,4,0,30.0,289.4,5.9,2156.4500000000003
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,644.4,353.0,2.0,0,54.8,2,4,0,24.0,291.4,5.9,2082.7000000000003
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,685.8,365.5,4.0,0,53.3,2,4,0,30.0,320.29999999999995,5.9,2156.4500000000003
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,660.3,368.0,2.0,0,55.7,2,4,0,24.0,292.29999999999995,5.9,2171.2000000000003
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P1,688.9,380.0,4.0,0,55.2,2,3,0,30.0,308.9,,
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,705.5,373.5,2.0,1,52.9,2,4,0,24.0,332.0,5.9,2203.65
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,652.1,350.0,2.0,0,53.7,2,4,0,24.0,302.1,5.9,2065.0
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P1,690.0,384.0,4.0,0,55.7,2,3,0,30.0,306.0,,
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,637.6,361.0,4.0,0,56.6,2,4,0,30.0,276.6,5.9,2129.9
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,579.6,317.5,4.0,0,54.8,2,4,0,30.0,262.1,5.9,1873.25
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,648.7,354.0,2.0,0,54.6,2,4,0,24.0,294.70000000000005,5.9,2088.6
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P1,690.6,385.5,2.0,0,55.8,2,3,0,24.0,305.1,,
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,652.0,339.5,4.0,0,52.1,2,4,0,30.0,312.5,5.9,2003.0500000000002
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,630.9,345.0,4.0,0,54.7,2,4,0,30.0,285.9,5.9,2035.5000000000002
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,690.8,367.5,4.0,1,53.2,2,4,0,30.0,323.29999999999995,5.9,2168.25
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,699.5,379.0,4.0,1,54.2,2,4,0,30.0,320.5,5.9,2236.1
2021-12-22,2021,12,0.26,steer,175.0,C,21.5,A,P2,699.2,393.5,2.0,0,56.3,2,4,0,24.0,305.70000000000005,5.9,2321.65
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,646.9,307.5,2.0,0,47.5,2,4,0,24.0,339.4,5.9,1814.25
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,623.9,326.0,2.0,1,52.3,2,4,0,24.0,297.9,5.9,1923.4
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,663.6,344.0,4.0,0,51.8,2,4,0,30.0,319.6,5.9,2029.6000000000001
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,617.2,327.5,2.0,0,53.1,2,4,0,24.0,289.70000000000005,5.9,1932.2500000000002
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,644.8,331.5,4.0,0,51.4,2,4,0,30.0,313.29999999999995,5.9,1955.8500000000001
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,562.4,298.0,4.0,0,53.0,2,4,0,30.0,264.4,5.9,1758.2
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,582.2,319.0,2.0,1,54.8,2,4,0,24.0,263.20000000000005,5.9,1882.1000000000001
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,576.5,293.0,2.0,0,50.8,2,4,0,24.0,283.5,5.9,1728.7
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,552.5,271.5,2.0,0,49.1,2,4,0,24.0,281.0,5.9,1601.8500000000001
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,545.2,299.5,2.0,1,54.9,2,4,0,24.0,245.70000000000005,5.9,1767.0500000000002
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,640.6,322.0,4.0,0,50.3,2,4,0,30.0,318.6,5.9,1899.8000000000002
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,563.0,291.0,2.0,0,51.7,2,4,0,24.0,272.0,5.9,1716.9
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,618.2,337.5,2.0,0,54.6,2,4,0,24.0,280.70000000000005,5.9,1991.2500000000002
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,690.7,351.5,4.0,0,50.9,2,4,0,30.0,339.20000000000005,5.9,2073.85
2022-02-14,2022,2,0.69,steer,172.0,A,19.75,A,P2,569.7,296.0,2.0,1,52.0,2,4,0,24.0,273.70000000000005,5.9,1746.4
