model_name,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_missing_feature_values,best_params
Dummy Regressor,steer,Total number of defects,MSE,2,Test,0.8986360390139436,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,3,Test,1.1775004073651627,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,4,Test,1.032373975185642,594,4265,{}
Dummy Regressor,steer,Total number of defects,MSE,5,Test,1.089242476651678,594,4265,{}
Dummy Regressor,heifer,Total number of defects,MAE,1,Train,0.7732107758122326,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,2,Train,0.8085327783558792,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,3,Train,0.7704936986934906,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,4,Train,0.7958477508650519,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,5,Train,0.7935600102948325,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,1,Test,0.8601006634637383,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,2,Test,0.7254632807137954,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,3,Test,0.8399679707160832,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,4,Test,0.7455242966751918,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MAE,5,Test,0.7757498256219486,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,1,Train,0.9730893744941613,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,2,Train,1.1540062434963578,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,3,Train,1.004653717192739,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,4,Train,1.1160742371815038,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,5,Train,1.0772398410020303,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,1,Test,1.4308227737556667,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,2,Test,0.715588814842695,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,3,Test,1.3075174106956162,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,4,Test,0.8598615916955018,233,3066,{}
Dummy Regressor,heifer,Total number of defects,MSE,5,Test,1.0170405589049676,233,3066,{}
ElasticNet,cow,live weight,MAE,1,Train,44.35555555555556,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,2,Train,44.7237399561724,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,3,Train,45.79167275383492,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,4,Train,47.75704894083273,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,5,Train,50.05653761869978,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,1,Test,57.74000000000003,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,2,Test,58.67327327327329,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,3,Test,50.56756756756756,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,4,Test,48.10750750750746,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MAE,5,Test,33.03423423423425,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,1,Train,3413.254444444445,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,2,Train,3303.2445726807896,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,3,Train,3288.506691015341,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
ElasticNet,cow,live weight,MSE,4,Train,3761.743170197225,46,1302,"{'imputer_strategy': 'mean', 'alpha': 47.976507695406376, 'l1_ratio': 0.9962638353494178}"
