model_name,feature_set,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,n_features,n_missing_feature_values,best_params
Logistic Regression,Non-weather only,heifer,has defects,ROC AUC,5,Test,0.5692007797270956,233,94,4,214,"{'imputer_strategy': 'median', 'C': 0.6510429401962109, 'l1_ratio': 0.6906129600366803}"
Logistic Regression,Weather only,steer,has defects,Accuracy,1,Train,0.7893700787401575,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,2,Train,0.7897838899803536,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,3,Train,0.7956777996070727,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,4,Train,0.7701375245579568,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,5,Train,0.7976424361493124,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,1,Test,0.7890625,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,2,Test,0.7874015748031497,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,3,Test,0.6614173228346457,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,4,Test,0.8661417322834646,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Accuracy,5,Test,0.7559055118110236,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,1,Train,0.7719827586206897,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,2,Train,0.7671651146131806,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,3,Train,0.7917711318051576,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
Logistic Regression,Weather only,steer,has defects,Balanced Accuracy,4,Train,0.7562231375358166,636,200,310,3968,"{'imputer_strategy': 'mean', 'C': 0.33569154518923444, 'l1_ratio': 0.24455235877492099}"
