model_name,feature_set,animal_type,target,measure (MAE/MSE),Cross-validation,evaluated_on (Train/Test),Error,n_rows,n_features,n_missing_feature_values,best_params
ElasticNet,Non-weather only,heifer,price,MAE,2,Train,68.40224507842723,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,3,Train,69.51870424129164,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,4,Train,73.5430481232453,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,5,Train,66.44517797388541,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,1,Test,74.00982266765534,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,2,Test,77.12930449568117,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,3,Test,66.71233336630208,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,4,Test,53.97343002680545,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MAE,5,Test,79.42207308028883,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,1,Train,8395.665967041283,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,2,Train,8609.857098248769,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,3,Train,8877.356996615585,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,4,Train,9474.996789805096,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,5,Train,7300.563346387154,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,1,Test,9496.298454787177,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,2,Test,8618.548583376542,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,3,Test,7340.986573945631,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,4,Test,4933.145164478451,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Non-weather only,heifer,price,MSE,5,Test,13822.546072232672,233,4,214,"{'imputer_strategy': 'median', 'alpha': 0.00013614801774451527, 'l1_ratio': 0.8601099491460201}"
ElasticNet,Weather only,steer,live weight,MAE,1,Train,25.82294030743897,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,2,Train,23.504669334419066,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,3,Train,24.53738585300109,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,4,Train,24.701725231508842,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,5,Train,25.14503800170234,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,1,Test,22.898830642572452,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,2,Test,30.666032789109323,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,3,Test,27.43956738723568,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,4,Test,27.036099153831856,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MAE,5,Test,25.219232028267758,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,1,Train,1679.862490900731,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,2,Train,988.3944835655483,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,3,Train,1563.1491128503462,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,4,Train,1628.3679139401263,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,5,Train,1659.2500138479932,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,1,Test,950.1183582617731,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,2,Test,3853.7832992802682,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,3,Test,1438.8031900602434,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,4,Test,1212.4008036886976,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
ElasticNet,Weather only,steer,live weight,MSE,5,Test,1037.3778011258353,594,310,3968,"{'imputer_strategy': 'mean', 'alpha': 0.007044700789385641, 'l1_ratio': 0.7255737647383713}"
