model_name,animal_type,target,measure,Cross-validation,evaluated_on (Train/Test),Score,n_rows,n_defects,best_params
Logistic Regression,steer,has defects,ROC AUC,4,Test,0.7698717948717949,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,steer,has defects,ROC AUC,5,Test,0.7771381578947368,594,194,"{'imputer_strategy': 'mean', 'C': 8.498386071812147, 'l1_ratio': 0.2193876906687297}"
Logistic Regression,heifer,has defects,Accuracy,1,Train,0.6827956989247311,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,2,Train,0.6774193548387096,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,3,Train,0.7043010752688172,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,4,Train,0.7112299465240641,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,5,Train,0.6524064171122995,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,1,Test,0.7446808510638298,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,2,Test,0.6808510638297872,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,3,Test,0.5319148936170213,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,4,Test,0.5869565217391305,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Accuracy,5,Test,0.717391304347826,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Balanced Accuracy,1,Train,0.6455855855855855,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
Logistic Regression,heifer,has defects,Balanced Accuracy,2,Train,0.6497297297297298,233,94,"{'imputer_strategy': 'median', 'C': 0.03340271190649957, 'l1_ratio': 0.6102740414663794}"
